,序号,企业名称,经营状态,法定代表人,注册资本,注册资本币种,成立日期,核准日期,所属省,所属市,所属区/县,统一社会信用代码,联系电话,邮箱,参保人,企业性质,组织形式,国标行业门类,国标行业大类,国标行业中类,国标行业小类,网址,注册地址,通信地址,是否发行债券,经营范围
45,46.0,海南雅居乐房地产开发有限公司,在营,王坚,65.05亿,港元,2006-09-04,2023-08-15,海南省,-,陵水黎族自治县,91460000786644843J,0898-83358030,caijunli@agile.com.cn,142,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.18n-109e.com,海南省陵水县英州镇清水湾大道A03区公建七号商铺,-,曾有债券发行,许可项目：房地产开发经营；餐饮服务；食品销售；洗浴服务；国内船舶管理业务；船舶引航服务；船舶检验服务；船员、引航员培训；省际普通货船运输、省内船舶运输；货物进出口；进出口代理；进出口商品检验鉴定；食品经营（销售散装食品）；游艺娱乐活动（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：养老服务；旅游开发项目策划咨询；与农业生产经营有关的技术、信息、设施建设运营等服务；酒店管理；建筑材料销售；信息咨询服务（不含许可类信息咨询服务）；洗染服务；婚庆礼仪服务；停车场服务；日用百货销售；工艺美术品及礼仪用品销售（象牙及其制品除外）；游艇租赁；船舶销售；船舶租赁；船舶修理；国内船舶代理；国际船舶代理；无船承运业务；露营地服务；餐饮管理；健身休闲活动；休闲娱乐用品设备出租；体育赛事策划；普通货物仓储服务（不含危险化学品等需许可审批的项目）；物业管理；组织体育表演活动；会议及展览服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；市场营销策划；项目策划与公关服务；体验式拓展活动及策划（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）
46,47.0,深圳市彩生活服务集团有限公司,在营,胡梦茹,10.5亿,人民币,2006-08-25,2023-09-13,广东省,深圳市,福田区,914403007925781251,075533930880,739551976@qq.com,-,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,gw.colourlife.com,深圳市福田区沙头街道天安社区车公庙泰然七路1号博今商务广场B座十层1002,深圳市宝安区民治街道留仙大道边的综合楼12层A区,曾有债券发行,一般经营项目是：为酒店提供管理服务（不含酒店经营）；电子科技产品的技术开发；计算机软、硬件的技术开发；电子产品的销售；国内贸易（不含专营、专控、专卖商品）；投资兴办实业（具体项目另行申报）；信息咨询（不含限制项目）;物业管理；物联网应用服务（不含限制项目）。，许可经营项目是：
47,48.0,合景泰富集团控股有限公司,在营,-,-,港元,2006-07-28,-,-,-,-,-,-,-,-,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.kwggroupholdings.com,Cricket Square Hutchins Drive P.O. Box 2681 Grand Cayman KY1-1111 Cayman Islands,香港湾仔告士打道39号夏悫大厦13楼1301室,曾有债券发行,-
48,49.0,金世旗国际控股股份有限公司,在营,罗玉平,3亿,人民币,2006-07-13,2013-05-22,贵州省,贵阳市,观山湖区,91520000789760321U,0851-85509773,958986921@qq.com,5,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,贵州省贵阳市高新技术产业开发区国家数字内容产业园2层210,贵州省贵阳市观山湖区中天路3号201中心,曾有债券发行,从事城市基础设施及相关配套项目的投资及其管理业务；土地开发、整治、复垦及其利用的投资、开发和管理；旅游产业、绿色产业的投资及其管理；非金融性投资业务；建材、钢材、水泥、矿石、五金交电、机械设备。
49,50.0,厦门禹洲鸿图地产开发有限公司,在营,林彬煌,15亿,人民币,2006-06-20,2023-05-24,福建省,厦门市,海沧区,913502007841831664,0592-2505021,454715317@qq.com,58,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,中国（福建）自由贸易试验区厦门片区兴港六里2-106号,广东省深圳市南山区西丽街道科苑北路78号禹洲广场,曾有债券发行,从事海沧区兴港路“禹洲华侨城”及“禹洲尊海”（H2009G02）项目的开发与经营；物业服务；市政道路工程建筑。
50,51.0,鑫苑(中国)置业有限公司,在营,张勇,3.07亿,美元,2006-04-10,2018-04-25,河南省,郑州市,管城回族区,91410100786228620F,0371-65597777,xuhui.gui@xyre.com,7,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.xyre.com,郑州经济技术开发区第二大街西、经南一路南兴华科技产业园2号楼9层909号,北京市朝阳区建国路79号华贸中心2号写字楼27层,曾有债券发行,房地产开发与经营；房地产信息咨询；企业管理咨询；企业营销策划。（涉及许可经营项目，应取得相关部门许可后方可经营）
51,52.0,花样年集团(中国)有限公司,在营,潘军,16.25亿,人民币,2006-01-20,2022-02-18,广东省,深圳市,福田区,91440300785251247M,22690982,"rendf@cnfantasia,com",0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.cnfantasia.com,深圳市福田区福保街道福保社区福田保税区市花路3号花样年.福年广场A栋一层,深圳市福田区福保街道福保社区福田保税区市花路3号花样年.福年广场A栋一层,曾有债券发行,一般经营项目是：电子技术开发；软件开发及咨询；经济信息咨询；房地产信息咨询、房地产经纪；在合法取得使用权的土地上从事房地产开发经营；物业管理；园林绿化；从事摄影及彩色扩印服务;建筑材料（不含钢材）与建筑机械设备的批发、佣金代理（不含拍卖）与进出口（涉及配额许可证管理、专项规定管理的商品按国家有关规定办理）。，许可经营项目是：
52,53.0,深圳粤商国际投资有限公司,在营,张宝玉,1.2亿,人民币,2006-01-16,2019-04-23,广东省,深圳市,坪山区,91440300783938782F,28683666,383851455@qq.com,-,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,深圳市坪山新区燕子岭配套生活区5#宿舍楼第一层,广东省深圳市坪山新区,曾有债券发行,一般经营项目是：投资兴办实业（具体项目另行申报）；房地产经纪(不含限制项目)；国内贸易（以上涉及法律、行政法规、国务院决定规定在登记前须经批准的项目除外)；房屋租赁。，许可经营项目是：
53,54.0,襄阳华中光彩大市场物业管理有限公司,在营,聂红军,"3,000万",人民币,2005-12-28,2020-10-29,湖北省,襄阳市,襄州区,91420607764136610P,0710-3336886,1433164563@qq.com,1,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,-,襄阳市襄州区邓城大道1号,-,曾有债券发行,市场物业管理、场地租赁、管道租赁；建材、装饰材料、洁具、灯饰、布艺、装饰家具、家电、电工电料、服装鞋帽、日用百货、日杂用品、轻纺针织用品、五金机电、汽车配件、摩托车配件销售；停车服务；通信业务代理服务。**（涉及许可经营项目，应取得相关部门许可后方可经营）**
54,55.0,广州富力嘉盛置业发展有限公司,在营,林伟祥,4亿,人民币,2005-09-29,2024-01-30,广东省,广州市,越秀区,914401017812017603,38882777,18721102@qq.com,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,广州市越秀区较场东路19号14楼E,-,曾有债券发行,房地产开发经营;
55,56.0,雅居乐集团控股有限公司,在营,-,-,港元,2005-07-14,-,-,-,-,-,-,-,-,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.agile.com.cn,Cricket Square Hutchins Drive P.O. Box 2681 Grand Cayman KY1-1111 Cayman Islands,香港皇后大道东1号太古广场3期18楼1801-1806室,曾有债券发行,-
56,57.0,广东海伦堡地产集团有限公司,在营,王寿康,92亿,人民币,2005-04-14,2024-01-15,广东省,广州市,番禺区,914401017733145628,84812888,1564294838@qq.com,487,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.hlbkg.cn,广州市番禺区沙头街禺山西路329号2座二层（仅限办公用途）,广州市番禺区禺山西路329号创意城2座办公楼,曾有债券发行,房地产开发经营;土石方工程服务;室内装饰设计服务;投资咨询服务;企业财务咨询服务;信息技术咨询服务;贸易咨询服务;企业管理咨询服务;园林绿化工程服务;建材、装饰材料批发;企业自有资金投资;
57,58.0,青岛海尚海生活服务集团有限公司,在营,赵新护,"2,000万",人民币,2005-04-05,2021-09-14,山东省,青岛市,崂山区,91370212773505924E,0532-55578991,xuhairong@haier.com,163,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,-,山东省青岛市崂山区崂山路177号2楼,-,曾有债券发行,一般项目：居民日常生活服务；家政服务；专业保洁、清洗、消毒服务；园区管理服务；物业管理；餐饮管理；酒店管理；机构养老服务；信息咨询服务（不含许可类信息咨询服务）；互联网销售（除销售需要许可的商品）；数据处理和存储支持服务；健康咨询服务（不含诊疗服务）；组织文化艺术交流活动；会议及展览服务；普通货物仓储服务（不含危险化学品等需许可审批的项目）；停车场服务；城市绿化管理；房地产经纪；非居住房地产租赁；住房租赁；家具安装和维修服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；教育咨询服务（不含涉许可审批的教育培训活动）；软件开发；信息系统集成服务；计算机系统服务；礼品花卉销售；工艺美术品及收藏品批发（象牙及其制品除外）；工艺美术品及收藏品零售（象牙及其制品除外）；五金产品批发；五金产品零售；建筑材料销售；日用百货销售；服装服饰批发；服装服饰零售；家具销售；家用电器销售；电子产品销售；照相器材及望远镜零售；厨具卫具及日用杂品批发；卫生洁具销售；音响设备销售；建筑装饰材料销售；体育用品及器材批发；体育用品及器材零售；化妆品批发；化妆品零售；个人卫生用品销售；广告设计、代理；广告制作；广告发布（非广播电台、电视台、报刊出版单位）；园林绿化工程施工；咨询策划服务；规划设计管理；税务服务；工程管理服务；票务代理服务；国际货物运输代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：公路管理与养护；城市生活垃圾经营性服务；住宅室内装饰装修；建设工程设计；房地产开发经营；各类工程建设活动；保险代理业务；保健食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
58,59.0,怡家园(厦门)物业管理有限公司,在营,乔海侠,"5,000万",人民币,2005-02-17,2023-04-11,福建省,厦门市,思明区,91350200769267070P,0592-2337955,chenxueting@ehomeol.cn,941,港澳台企业,-,房地产业,房地产业,物业管理,物业管理,-,厦门市思明区环岛东路1699号建发国际大厦7楼,-,曾有债券发行,一般项目：物业管理；房地产经纪；住房租赁；信息咨询服务（不含许可类信息咨询服务）；停车场服务；建筑材料销售；轻质建筑材料销售；石灰和石膏销售；地板销售；建筑陶瓷制品销售；建筑防水卷材产品销售；砖瓦销售；建筑用钢筋产品销售；建筑砌块销售；水泥制品销售；石棉水泥制品销售；石棉制品销售；建筑装饰材料销售；五金产品批发；五金产品零售；互联网销售（除销售需要许可的商品）；灯具销售；日用品批发；家具零配件销售；日用木制品销售；家具安装和维修服务；工程管理服务；家用电器安装服务；防腐材料销售；住宅水电安装维护服务；家政服务；日用百货销售；专业保洁、清洗、消毒服务；咨询策划服务；外卖递送服务；商业综合体管理服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：高危险性体育运动（游泳）；餐饮服务（不含烧烤）【分支机构经营】。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
59,60.0,无锡五洲国际装饰城有限公司,在营,舒策城,3亿,人民币,2005-02-01,2022-06-17,江苏省,无锡市,惠山区,91320200770542754U,0510-68025616,wz@hkwzig.com,23,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.hkwzig.com,无锡市惠山经济开发区钱桥配套区（锡宜高速入口处）,-,曾有债券发行,经营自有房产；物业管理；房地产开发（地号为6303-88-1、6303-88-3、6303-89-1、6303-89-2、6303-89-5、6303-89-6、6303-89-7、6303-90-1、6303-90-2、6303-91-1、6303-91-2）（不含国家限制、禁止类项目，凭有效资质证书经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：停车场服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
60,61.0,世茂集团控股有限公司,在营,-,-,港元,2004-10-29,-,-,-,-,-,-,-,-,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.shimaogroup.hk,Cricket Square Hutchins Drive P.O. Box 2681 Grand Cayman KY1-1111 Cayman Islands,香港金钟道89号力宝中心第1座38楼,曾有债券发行,-
61,62.0,中天美好集团有限公司,在营,华学严,10亿,人民币,2004-10-22,2022-07-14,浙江省,杭州市,上城区,91330000768203921L,0571-28890557,xudan@ztmyhome.com,160,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,浙江省杭州市上城区中天钱塘银座608室,-,曾有债券发行,许可项目：房地产开发经营；住宅室内装饰装修；建设工程设计；建设工程施工(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：物业管理；房地产咨询；房地产评估；房地产经纪；工程管理服务；市政设施管理；园林绿化工程施工；建筑材料销售；五金产品零售；非居住房地产租赁；住房租赁；企业管理咨询；住宅水电安装维护服务；酒店管理；养老服务；工程造价咨询业务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。
62,63.0,鄂尔多斯市华研投资集团有限责任公司,在营,段永飞,"5,050万",人民币,2004-07-28,2022-09-05,内蒙古,鄂尔多斯市,东胜区,91150602764459356A,0477-8572913,872890454@qq.com,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,内蒙古自治区鄂尔多斯市东胜区华研物流园区第五号街坊1号楼101,内蒙古鄂尔多斯市东胜区南物流园区华研,曾有债券发行,对房地产业、物流业、建筑业、商业、服务业的投资，木材、货物存储（不含违禁品），建材、日用百货、家电、家居、服装鞋帽、针织品、化学制品（不含危险品）、乐器、土产、电器、计算机、打印机、复印件、传真机及配件、耗材、工艺品、金银、珠宝、玉器、首饰、体育用品、健身器材、玩具的批发、零售及网络营销，体育健身活动，网络工程，系统集成。
63,64.0,南京世茂房地产开发有限公司,在营,颜华,4.1亿,人民币,2004-07-23,2023-11-03,江苏省,南京市,鼓楼区,913201007621366256,025-58773399,-,79,民营企业,有限责任公司,房地产业,房地产业,-,-,-,南京市鼓楼区南通路118号3幢802室,-,曾有债券发行,许可项目：房地产开发经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准） 一般项目：酒店管理；商业综合体管理服务；非居住房地产租赁；房地产咨询；房地产经纪；物业管理（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
64,65.0,阳光壹佰物业发展有限公司,在营,柳建,"5,000万",人民币,2004-05-31,2023-11-16,湖南省,长沙市,岳麓区,91430000763252556P,0731-89725185,cswy@ss100.com.cn,21,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,www.ss100.com.cn,长沙市岳麓区南二环一段518号阳光壹佰国际新城1-84-2,-,曾有债券发行,许可项目：住宿服务；建筑劳务分包；施工专业作业；建设工程施工；邮政基本服务（邮政企业及其委托企业）；基础电信业务；住宅室内装饰装修；职业中介活动；餐饮服务；生活美容服务；特种设备安装改造修理；特种设备检验检测。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：物业管理；酒店管理；家政服务；住房租赁；停车场服务；洗车服务；机动车修理和维护；办公用品销售；针纺织品销售；服装服饰零售；五金产品零售；家具销售；日用百货销售；家具安装和维修服务；家居用品销售；食品销售（仅销售预包装食品）；保健食品（预包装）销售；食品互联网销售（仅销售预包装食品）；旅客票务代理；住宅水电安装维护服务；居民日常生活服务；房地产经纪；房地产咨询；市场营销策划；非居住房地产租赁；人力资源服务（不含职业中介活动、劳务派遣服务）；餐饮管理；日用品销售；化妆品零售；单位后勤管理服务；商业综合体管理服务；供应链管理服务；专业保洁、清洗、消毒服务；园林绿化工程施工；电子、机械设备维护（不含特种设备）；普通机械设备安装服务；专用设备修理；通用设备修理；信息系统集成服务；铁路运输辅助活动；信息系统运行维护服务；电气设备修理；外卖递送服务；消防技术服务；建设工程消防验收现场评定技术服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
65,66.0,浙江佳源房地产集团有限公司,在营,沈玉兴,10.5亿,人民币,2004-03-29,2022-08-29,浙江省,嘉兴市,南湖区,91330402760173561M,0573-82207577,158282627@qq.com,35,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.zjjiayuan.com.cn,浙江省嘉兴市中环东路2297号,-,曾有债券发行,普通住宅的开发经营；自有房屋租赁服务；房地产营销策划。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
66,67.0,上海仁杰河滨园房地产有限公司,在营,阮信坤,"2,800万",人民币,2004-03-03,2023-09-01,上海市,-,青浦区,91310118759573904X,021-59732999,-,2,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,上海市青浦区盈港东路8300弄6-7号1幢3层P区381室,-,曾有债券发行,房地产开发、经营，物业管理，自有房屋租赁，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
67,68.0,重庆业瑞房地产开发有限公司,在营,肖洁,1.76亿,人民币,2003-12-01,2023-10-10,重庆市,-,沙坪坝区,915001067562131109,02368650105,cqhyrc@cqhyrc.com.cn,62,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,重庆市沙坪坝区华宇广场1号,-,曾有债券发行,房地产开发贰级（按资质证书核定的范围和期限从事经营）；房屋出租、出售（国家法律法规规定应经审批而未获批准前不得从事经营）*
68,69.0,融信(福建)投资集团有限公司,在营,刘熙,40.25亿,人民币,2003-09-23,2022-10-24,福建省,福州市,仓山区,91350100753146522F,0591-87952053,-,7,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.rongxingroup.com,福州市仓山区建新镇盘屿路5号奥体正祥城6号楼7层7-3,福州市仓山区建新镇盘屿路5号奥体正祥城6号楼7层7-3,曾有债券发行,对房地产业、交通运输业的投资；房地产开发（以资质证书为准）；商品房销售；建筑材料、计算机及软件销售；建筑工程和环保技术研发；自营和代理各类商品及技术的进出口，但国家限定公司经营和禁止进出口的商品和技术除外；企业管理咨询；市场营销策划；建设工程造价咨询；建筑工程项目管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
69,70.0,广西荣和有限责任公司,在营,李斌,1.24亿,人民币,2003-08-27,2023-01-18,广西,南宁市,青秀区,91450000753715844B,0771-2268888,gxronghe@126.com,2,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,南宁市青秀区佛子岭路11号荣和E中心A座22楼,南宁市青秀区民族大道155号荣和山水美地一组团办公楼,曾有债券发行,许可项目：房地产开发经营；住宅室内装饰装修；建设工程施工（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：住房租赁；房地产经纪；园林绿化工程施工；土石方工程施工；消防技术服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
70,71.0,融创西南房地产开发(集团)有限公司,在营,纪术元,10.1亿,人民币,2003-04-24,2022-09-06,重庆市,-,渝北区,915000007474974732,02389151888,-,120,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.sunac.com.cn,重庆市两江新区金山街道栖霞路16号1幢,-,曾有债券发行,许可项目：房地产开发经营；建设工程施工；建设工程勘察；注册会计师业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准） 一般项目：技术进出口；货物进出口；工程造价咨询业务；法律咨询（不含依法须律师事务所执业许可的业务）；建筑材料销售；市场营销策划；非居住房地产租赁；住房租赁；信息咨询服务（不含许可类信息咨询服务）；税务服务；企业形象策划；工程管理服务；企业管理；物业管理；房地产经纪；房地产咨询；人力资源服务（不含职业中介活动、劳务派遣服务）；旅客票务代理；旅游开发项目策划咨询；国内贸易代理；销售代理；互联网销售（除销售需要许可的商品）；农副产品销售；玩具、动漫及游艺用品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
71,72.0,印力商用置业有限公司,在营,丁力业,10.5亿,人民币,2003-04-11,2022-05-27,广东省,深圳市,福田区,91440300748870399Q,075533380288,panhong@scpgroup.com,-,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,深圳市福田区农林路69号深国投广场2号楼1201室,-,曾有债券发行,一般经营项目是：自有物业出租；商业信息咨询；从事货物、技术进出口业务(不含分销、国家专营专控商品)；非融资性担保业务(诉讼保全担保、财产保全担保、工程履约担保、工程支付担保、投标担保、预付款担保、尾付款如约偿付担保、原材料赊购担保、设备分期付款担保、租赁合同担保、财政支付担保、联合担保、仓储监管担保、其他经济合同担保以及与担保业务有关的投融资咨询和财务顾问等中介服务。不得从事吸收存款、集资收款、受托贷款、发行票据、发放贷款等国家金融监管及财政信用业务。)；国内贸易(不含专营、专卖、专控商品)；家具及家居用品、家用电器、数码产品及其配件、照相器材、厨房用具、纺织品、针织品、服装鞋帽及箱包、化妆品、护肤品、个人护理用品、卫生用品、办公用品、体育用品及器材、文化用品、玩具、日用百货、汽车零配件、汽车装潢用品、珠宝首饰、金银饰品、工艺美术品(象牙及其制品除外)、通讯设备、电子产品、建筑装潢材料、花卉、宠物用品、园艺及烧烤用品的批发和销售；保健用品、初级农产品的销售。(法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营)，许可经营项目是：深国投广场机动车辆停放业务；增值电信业务；保健食品、食品、饮料、酒、农副食品的批发和销售；预包装食品、散装食品、冷藏冷冻食品、婴儿配方奶粉的批发和销售。
72,73.0,浙江万厦房地产开发有限公司,在营,虞云新,5亿,人民币,2003-03-26,2022-06-02,浙江省,金华市,义乌市,913307821476442069,85029168,zjwansha@163.com,52,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,浙江省义乌市江东街道新光南路3号,-,曾有债券发行,房地产开发和经营(与有效资质证书同时使用)
73,74.0,上海新城万嘉房地产有限公司,在营,唐云龙,"9,000万",人民币,2003-03-19,2022-12-08,上海市,-,嘉定区,9131011474807355XT,021-32577252,huangjh@xincheng.com,129,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,上海市嘉定区柳梁路155弄4号,-,曾有债券发行,房地产开发经营，自有房屋租赁，室内外装潢工程，房地产经纪，建材的销售。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
74,75.0,上海新湖绿城物业服务有限公司,在营,陈沧海,"2,000万",人民币,2003-02-18,2023-12-05,上海市,-,普陀区,913101077472874332,021-61427128,514946788@QQ.COM,76,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,-,上海市普陀区东新路88弄36号底层甲室,-,曾有债券发行,一般项目：物业管理；酒店管理；医院管理；市政设施管理；城乡市容管理；企业管理咨询；房地产经纪；房地产咨询；人力资源服务（不含职业中介活动、劳务派遣服务）；家政服务；专业保洁、清洗、消毒服务；建筑物清洁服务；餐饮管理；单位后勤管理服务；日用百货销售；服装服饰零售；办公用品销售；家具销售；通信设备销售；汽车零配件零售；五金产品零售；建筑材料销售；体育用品及器材零售；体育用品设备出租；停车场服务；物联网应用服务；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；信息系统集成服务；会议及展览服务；园林绿化工程施工；城市绿化管理；住宅水电安装维护服务；电子、机械设备维护（不含特种设备）；通用设备修理；健身休闲活动；病人陪护服务；电动汽车充电基础设施运营；办公服务；咨询策划服务；企业形象策划；市场营销策划；礼仪服务；组织文化艺术交流活动；文艺创作；摄影扩印服务；代驾服务；水污染治理；大气污染治理；污水处理及其再生利用；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：道路货物运输（不含危险货物）；职业中介活动；城市生活垃圾经营性服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
75,76.0,融创房地产集团有限公司,在营,汪孟德,150.15亿,人民币,2003-01-31,2023-04-14,天津市,-,西青区,9112011174665940XA,022-23937799,dingchao@sunac.com.cn,82,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.sunac.com.cn,天津市西青经济技术开发区赛达新兴产业园C座6层6-099,北京市城区东直门北大街8号使馆壹号院4号楼,曾有债券发行,房地产开发及商品房销售；物业管理；室内外装饰；自有房屋租赁；房地产信息咨询（不含中介）；企业管理信息咨询服务；建筑材料批发兼零售；货物进出口（国家法律法规禁止的除外）。（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理。）
76,77.0,厦门中骏集团有限公司,在营,郑晓乐,17.79亿,港元,2003-01-28,2023-08-03,福建省,厦门市,湖里区,913502006120495420,13600922036,chenqiaol@sce-re.com,15,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.sce-cn.com,中国（福建）自由贸易试验区厦门片区高崎南五路208号10楼1002室,上海市闵行区申长路1688弄2号中骏集团大厦,曾有债券发行,经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外；建材批发；金属及金属矿批发（不含危险化学品和监控化学品）；汽车零配件批发；五金产品批发；企业管理咨询；提供企业营销策划服务；园林景观和绿化工程设计；建设工程勘察设计。（以上商品不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）
77,78.0,苏州工业园区华成房地产开发有限公司,在营,朱绍猛,1亿,人民币,2002-12-10,2023-01-10,江苏省,苏州市,吴中区,91320594744824707X,021-52036333,zhoulei12@zldcgroup.com,6,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.zldcgroup.com,苏州工业园区娄葑分区商业街16号三楼,-,曾有债券发行,房地产开发；自有房屋出租;房地产信息咨询；财务咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
78,79.0,新疆广汇物业管理有限公司,在营,王强,500万,人民币,2002-12-09,2023-03-09,新疆,乌鲁木齐市,天山区,91650102745207014E,0991-2855852,563363188@qq.com,844,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,www.xjghwy.cn,新疆乌鲁木齐市天山区新华南路68号广汇大厦10楼A座,-,曾有债券发行,"物业管理，房屋租赁、维修、养护,楼宇机电配套设备管理、维修，庭园绿化，家政服务，家电维修，商务中心，中国民用航空机票销售代理，房地产经纪，社会经济咨询，国内各类广告发布、设计、制作、代理，非占道停车服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
